target_id	length	eff_length	est_counts	tpm
NR_123721	5208	5008.99	77.5688	1.96376
NR_036753	258	70.4386	0	0
NR_125392	163	29.6537	4	17.1054
NR_103835	804	604.994	0	0
NR_045637	659	459.994	4.47122	1.23261
NR_137425	2282	2082.99	0	0
NR_045634	4190	3990.99	13.264	0.42145
NR_026971	2187	1987.99	2	0.127576
NR_045636	4064	3864.99	0	0
NR_121610	643	443.994	1	0.285611
NR_137424	2300	2100.99	0	0
NR_028340	734	534.994	1	0.23703
NR_028339	3352	3152.99	1	0.0402188
NR_110094	2103	1903.99	0	0
NR_027035	2568	2368.99	2.00364	0.107253
NR_120550	386	187.013	0	0
NR_132117	2908	2708.99	10	0.468106
NR_038974	474	274.994	2	0.922274
NR_046546	1132	932.994	1	0.135917
NR_108075	1432	1232.99	5	0.514235
NR_027447	1872	1672.99	4.23098	0.3207
NR_110536	685	485.994	1.43876	0.375413
NR_045414	740	540.994	0	0
NR_102703	596	396.994	1	0.319425
NR_109756	763	563.994	3	0.674527
NR_121598	254	67.7663	0	0
NR_038251	1507	1307.99	0	0
NR_024274	616	416.994	0	0
NR_104136	495	295.994	0	0
NR_103787	947	747.994	0	0
NR_029380	1332	1132.99	0	0
NR_038833	967	767.994	1.0123	0.167149
NR_038866	2603	2403.99	4.26278	0.22486
NR_047482	1903	1703.99	8	0.595353
NR_103441	1531	1331.99	0	0
NR_047502	2280	2080.99	0	0
NR_024009	1532	1332.99	1	0.0951315
NR_126425	379	180.025	0	0
NR_038845	1642	1442.99	0	0
NR_024586	3615	3415.99	87	3.22964
NR_034027	2062	1862.99	1.03503	0.070452
NR_047476	800	600.994	0	0
NR_125724	623	423.994	0	0
NR_038857	1644	1444.99	8	0.702064
NR_121597	332	133.592	1	0.949234
NR_103792	3567	3367.99	32.0064	1.20509
NR_103539	602	402.994	0	0
NR_125758	905	705.994	2	0.359237
NR_126376	950	750.994	0	0
NR_133640	1159	959.994	0	0
NR_038231	2454	2254.99	0	0
NR_133638	2521	2321.99	2	0.109225
NR_133639	1320	1120.99	0	0
NR_039846	78	16.6602	0	0
NR_037421	180	34.0682	0	0
NR_038338	1612	1412.99	8.99996	0.807705
NR_038957	1313	1113.99	10	1.13833
NR_038339	1455	1255.99	7.00004	0.706749
NR_046262	5346	5146.99	62.1093	1.53022
NR_038337	1743	1543.99	0	0
NR_147061	2252	2052.99	0	0
NR_038956	1338	1138.99	0	0
NR_034118	1678	1478.99	4	0.342962
NR_036446	1670	1470.99	1.29591	0.111717
NR_002940	7238	7038.99	41.3131	0.744268
NR_155204	1409	1209.99	3	0.314406
NR_039651	66	15.4083	0	0
NR_003365	1078	878.994	4	0.577068
NR_036153	77	16.5554	0	0
NM_001324076	542	342.994	0	0
NR_033257	733	533.994	15.956	3.78913
NR_002836	1976	1776.99	7.88033	0.562355
NR_145735	148	26.4358	0	0
NR_029392	1575	1375.99	328.442	30.2687
NR_146728	1720	1520.99	0	0
NR_146393	2729	2529.99	0	0
NR_145749	144	25.6685	0	0
NR_148945	1727	1527.99	50.9891	4.23164
NR_146394	2498	2298.99	18.7977	1.03686
NR_002746	77	16.5554	0	0
NR_126046	1064	864.994	15.7433	2.30799
NR_126044	2357	2157.99	4.43317	0.260505
NR_024472	1858	1658.99	0	0
NR_015363	2682	2482.99	4.47045	0.228312
NR_126045	1633	1433.99	3.27744	0.289828
NR_040073	604	404.994	1	0.313115
NR_126347	779	579.994	0	0
NR_146317	652	452.994	0	0
NR_036526	3218	3018.99	7.46036	0.313365
NR_002821	494	294.994	7.63752	3.28316
NR_039792	64	15.1973	0	0
NR_135007	2557	2357.99	3.62298e-08	1.94839e-09
NR_073060	969	769.994	0	0
NR_073059	989	789.994	6.49847	1.04313
NR_134854	1666	1466.99	17.8917	1.54659
NR_003002	275	82.8196	22.2317	34.0402
NR_003008	278	85.1688	10	14.8892
NR_036529	5797	5597.99	9.67462	0.219156
NR_036528	6930	6730.99	7.86502	0.148174
NR_036527	6348	6148.99	0	0
NR_036534	2442	2242.99	11	0.621895
NR_122048	692	492.994	5	1.28612
NR_138252	819	619.994	0.512898	0.104905
NR_134535	3432	3232.99	0	0
NR_102390	1478	1278.99	0	0
NR_003693	99	18.9805	0	0
NR_031692	62	14.9844	0	0
NR_146185	1745	1545.99	3.80708	0.312275
NR_146183	1809	1609.99	56.2859	4.43331
NR_146184	2031	1831.99	1.82466	0.126302
NR_030311	94	18.3995	0	0
NR_155740	539	339.994	0	0
NR_155752	872	672.994	2	0.376853
NR_155748	379	180.025	0	0
NR_038450	564	364.994	0	0
NR_117094	2754	2554.99	1.00216	0.0497391
NR_110742	690	490.994	0	0
NR_038952	1976	1776.99	0	0
NR_038951	2131	1931.99	4	0.262547
NR_146593	4373	4173.99	0	0
NR_146591	3788	3588.99	3.17704	0.112254
NR_146588	3441	3241.99	0	0
NR_039949	80	16.8705	0	0
NR_146590	3681	3481.99	0	0
NR_038988	3492	3292.99	2.2498	0.0866373
NR_146592	3532	3332.99	0	0
NR_030285	94	18.3995	0	0
NR_134477	3413	3213.99	0	0
NR_144393	866	666.994	41.583	7.90582
NR_024187	728	528.994	21.9517	5.26224
NR_144394	3275	3075.99	22.5754	0.930685
NR_003254	363	164.089	0	0
NR_144395	3164	2964.99	6.13432	0.262358
NR_040114	827	627.994	1	0.201928
